ave585_species,ave585_english,w_classifier name,w_english,wikipedia link,has_ave585,has_w
Acanthis flammea,CommonRedpoll,Acanthis_flammea,Common Redpoll,http://en.wikipedia.org/wiki/Common_redpoll,True,True
Accipiter nisus,EurasianSparrowhawk,Accipiter_nisus,Eurasian Sparrowhawk,http://en.wikipedia.org/wiki/Eurasian_sparrowhawk,True,True
Acrocephalus arundinaceus,GreatReedWarbler,Acrocephalus_arundinaceus,Great Reed Warbler,http://en.wikipedia.org/wiki/Great_reed_warbler,True,True
Acrocephalus dumetorum,BlythsReedWarbler,Acrocephalus_dumetorum,Blyth's Reed Warbler,http://en.wikipedia.org/wiki/Blyth's_reed_warbler,True,True
Acrocephalus palustris,MarshWarbler,Acrocephalus_palustris,Marsh Warbler,http://en.wikipedia.org/wiki/Marsh_warbler,True,True
Acrocephalus schoenobaenus,SedgeWarbler,Acrocephalus_schoenobaenus,Sedge Warbler,http://en.wikipedia.org/wiki/Sedge_warbler,True,True
Acrocephalus scirpaceus,EurasianReedWarbler,Acrocephalus_scirpaceus,Eurasian Reed Warbler,http://en.wikipedia.org/wiki/Eurasian_reed_warbler,True,True
Actitis hypoleucos,CommonSandpiper,Actitis_hypoleucos,Common Sandpiper,http://en.wikipedia.org/wiki/Common_sandpiper,True,True
Aegithalos caudatus,Long-tailedTit,Aegithalos_caudatus,Long-tailed Tit,http://en.wikipedia.org/wiki/Long-tailed_tit,True,True
Aix galericulata,MandarinDuck,Aix_galericulata,Mandarin Duck,http://en.wikipedia.org/wiki/Mandarin_duck,True,True
Alauda arvensis,EurasianSkylark,Alauda_arvensis,Eurasian Skylark,http://en.wikipedia.org/wiki/Eurasian_skylark,True,True
Alca torda,Razorbill,Alca_torda,Razorbill,http://en.wikipedia.org/wiki/Razorbill,True,True
Alopochen aegyptiaca,EgyptianGoose,Alopochen_aegyptiaca,Egyptian Goose,http://en.wikipedia.org/wiki/Egyptian_goose,True,True
Anas acuta,NorthernPintail,Anas_acuta,Northern Pintail,http://en.wikipedia.org/wiki/Northern_pintail,True,True
Anas crecca,EurasianTeal,Anas_crecca,Eurasian Teal,http://en.wikipedia.org/wiki/Eurasian_teal,True,True
Anas platyrhynchos,Mallard,Anas_platyrhynchos,Mallard,http://en.wikipedia.org/wiki/Mallard,True,True
Anser albifrons,GreaterWhite-frontedGoose,Anser_albifrons,Greater White-fronted Goose,http://en.wikipedia.org/wiki/Greater_white-fronted_goose,True,True
Anser anser,GreylagGoose,Anser_anser,Greylag Goose,http://en.wikipedia.org/wiki/Greylag_goose,True,True
Anser brachyrhynchus,Pink-footedGoose,Anser_brachyrhynchus,Pink-footed Goose,http://en.wikipedia.org/wiki/Pink-footed_goose,True,True
Anthus petrosus,EuropeanRockPipit,Anthus_petrosus,Eurasian Rock Pipit,http://en.wikipedia.org/wiki/Eurasian_rock_pipit,True,True
Anthus pratensis,MeadowPipit,Anthus_pratensis,Meadow Pipit,http://en.wikipedia.org/wiki/Meadow_pipit,True,True
Anthus spinoletta,WaterPipit,Anthus_spinoletta,Water Pipit,http://en.wikipedia.org/wiki/Water_pipit,True,True
Anthus trivialis,TreePipit,Anthus_trivialis,Tree Pipit,http://en.wikipedia.org/wiki/Tree_pipit,True,True
Apus apus,CommonSwift,Apus_apus,Common Swift,http://en.wikipedia.org/wiki/Common_swift,True,True
Aquila chrysaetos,GoldenEagle,Aquila_chrysaetos,Golden Eagle,http://en.wikipedia.org/wiki/Golden_eagle,True,True
Ardea cinerea,GreyHeron,Ardea_cinerea,Grey Heron,http://en.wikipedia.org/wiki/Grey_heron,True,True
Asio flammeus,Short-earedOwl,Asio_flammeus,Short-eared Owl,http://en.wikipedia.org/wiki/Short-eared_owl,True,True
Asio otus,Long-earedOwl,Asio_otus,Long-eared Owl,http://en.wikipedia.org/wiki/Long-eared_owl,True,True
Athene noctua,LittleOwl,Athene_noctua,Little Owl,http://en.wikipedia.org/wiki/Little_owl,True,True
Aythya ferina,CommonPochard,Aythya_ferina,Common Pochard,http://en.wikipedia.org/wiki/Common_pochard,True,True
Aythya fuligula,TuftedDuck,Aythya_fuligula,Tufted Duck,http://en.wikipedia.org/wiki/Tufted_duck,True,True
Bombycilla garrulus,BohemianWaxwing,Bombycilla_garrulus,Bohemian Waxwing,http://en.wikipedia.org/wiki/Bohemian_Waxwing,True,True
Botaurus stellaris,EurasianBittern,Botaurus_stellaris,Eurasian Bittern,http://en.wikipedia.org/wiki/Eurasian_bittern,True,True
Branta bernicla,BrantGoose,Branta_bernicla,Brant Goose,http://en.wikipedia.org/wiki/Brant_goose,True,True
Branta canadensis,CanadaGoose,Branta_canadensis,Canada Goose,http://en.wikipedia.org/wiki/Canada_goose,True,True
Branta leucopsis,BarnacleGoose,Branta_leucopsis,Barnacle Goose,http://en.wikipedia.org/wiki/Barnacle_goose,True,True
Branta ruficollis,Red-breastedGoose,Branta_ruficollis,Red-breasted Goose,http://en.wikipedia.org/wiki/Red-breasted_goose,True,True
Buteo buteo,CommonBuzzard,Buteo_buteo,Common Buzzard,http://en.wikipedia.org/wiki/Common_buzzard,True,True
Calidris alpina,Dunlin,Calidris_alpina,Dunlin,http://en.wikipedia.org/wiki/Dunlin,True,True
Calidris melanotos,PectoralSandpiper,Calidris_melanotos,Pectoral Sandpiper,http://en.wikipedia.org/wiki/Pectoral_sandpiper,True,True
Caprimulgus europaeus,EuropeanNightjar,Caprimulgus_europaeus,European Nightjar,http://en.wikipedia.org/wiki/European_nightjar,True,True
Carduelis carduelis,EuropeanGoldfinch,Carduelis_carduelis,European Goldfinch,http://en.wikipedia.org/wiki/European_goldfinch,True,True
Carpodacus erythrinus,CommonRosefinch,Carpodacus_erythrinus,Common Rosefinch,http://en.wikipedia.org/wiki/Common_rosefinch,True,True
Cepphus grylle,BlackGuillemot,Cepphus_grylle,Black Guillemot,http://en.wikipedia.org/wiki/Black_guillemot,True,True
Certhia familiaris,EurasianTreecreeper,Certhia_familiaris,Eurasian Treecreeper,http://en.wikipedia.org/wiki/Eurasian_treecreeper,True,True
Cettia cetti,CettisWarbler,Cettia_cetti,Cetti's Warbler,http://en.wikipedia.org/wiki/Cetti%27s_warbler,True,True
Charadrius dubius,LittleRingedPlover,Charadrius_dubius,Little Ringed Plover,http://en.wikipedia.org/wiki/Little_ringed_plover,True,True
Charadrius hiaticula,CommonRingedPlover,Charadrius_hiaticula,Common Ringed Plover,http://en.wikipedia.org/wiki/Common_ringed_plover,True,True
Chloris chloris,EuropeanGreenfinch,Chloris_chloris,European Greenfinch,http://en.wikipedia.org/wiki/European_greenfinch,True,True
Chroicocephalus ridibundus,Black-headedGull,Chroicocephalus_ridibundus,Black-headed Gull,http://en.wikipedia.org/wiki/Black-headed_gull,True,True
Chrysolophus amherstiae,LadyAmherstsPheasant,Chrysolophus_amherstiae,Lady Amherst's Pheasant,http://en.wikipedia.org/wiki/Lady_Amherst%27s_pheasant,True,True
Cinclus cinclus,White-throatedDipper,Cinclus_cinclus,White-throated Dipper,http://en.wikipedia.org/wiki/White-throated_dipper,True,True
Circus aeruginosus,WesternMarshHarrier,Circus_aeruginosus,Western Marsh Harrier,http://en.wikipedia.org/wiki/Western_marsh_harrier,True,True
Coccothraustes coccothraustes,Hawfinch,Coccothraustes_coccothraustes,Hawfinch,http://en.wikipedia.org/wiki/Hawfinch,True,True
Coloeus monedula,WesternJackdaw,Coloeus_monedula,Western Jackdaw,http://en.wikipedia.org/wiki/Western_jackdaw,True,True
Columba livia,RockDove,Columba_livia,Rock Dove,http://en.wikipedia.org/wiki/Rock_dove,True,True
Columba oenas,StockDove,Columba_oenas,Stock Dove,http://en.wikipedia.org/wiki/Stock_dove,True,True
Columba palumbus,CommonWoodPigeon,Columba_palumbus,Common Wood Pigeon,http://en.wikipedia.org/wiki/Common_wood_pigeon,True,True
Corvus corax,NorthernRaven,Corvus_corax,Northern Raven,http://en.wikipedia.org/wiki/Common_raven,True,True
Corvus corone,CarrionCrow,Corvus_corone,Carrion Crow,http://en.wikipedia.org/wiki/Carrion_crow,True,True
Corvus frugilegus,Rook,Corvus_frugilegus,Rook,http://en.wikipedia.org/wiki/Rook_(bird),True,True
Coturnix coturnix,CommonQuail,Coturnix_coturnix,Common Quail,http://en.wikipedia.org/wiki/Common_quail,True,True
Crex crex,CornCrake,Crex_crex,Corn Crake,http://en.wikipedia.org/wiki/Corn_crake,True,True
Cuculus canorus,CommonCuckoo,Cuculus_canorus,Common Cuckoo,http://en.wikipedia.org/wiki/Common_cuckoo,True,True
Curruca cantillans,EasternSubalpineWarbler,Sylvia_cantillans,Subalpine Warbler,http://en.wikipedia.org/wiki/Subalpine_warbler,True,True
Curruca communis,CommonWhitethroat,Sylvia_communis,Common Whitethroat,http://en.wikipedia.org/wiki/Common_whitethroat,True,True
Curruca conspicillata,SpectacledWarbler,Sylvia_conspicillata,Spectacled Warbler,http://en.wikipedia.org/wiki/Spectacled_warbler,True,True
Curruca curruca,LesserWhitethroat,Sylvia_curruca,Lesser Whitethroat,http://en.wikipedia.org/wiki/Lesser_Whitethroat,True,True
Curruca iberiae,WesternSubalpineWarbler,Sylvia_cantillans,Subalpine Warbler,http://en.wikipedia.org/wiki/Subalpine_warbler,True,True
Curruca subalpina,MoltonisWarbler,Sylvia_subalpina,Moltoni's Warbler,http://en.wikipedia.org/wiki/Subalpine_warbler,True,True
Curruca undata,DartfordWarbler,Sylvia_undata,Dartford Warbler,http://en.wikipedia.org/wiki/Dartford_warbler,True,True
Cyanistes caeruleus,EurasianBlueTit,Cyanistes_caeruleus,Eurasian Blue Tit,http://en.wikipedia.org/wiki/Eurasian_blue_tit,True,True
Cygnus columbianus,TundraSwan,Cygnus_columbianus,Tundra Swan,http://en.wikipedia.org/wiki/Tundra_swan,True,True
Cygnus cygnus,WhooperSwan,Cygnus_cygnus,Whooper Swan,http://en.wikipedia.org/wiki/Whooper_swan,True,True
Cygnus olor,MuteSwan,Cygnus_olor,Mute Swan,http://en.wikipedia.org/wiki/Mute_swan,True,True
Delichon urbicum,CommonHouseMartin,Delichon_urbicum,Common House Martin,http://en.wikipedia.org/wiki/Common_house_martin,True,True
Dendrocopos major,GreatSpottedWoodpecker,Dendrocopos_major,Great Spotted Woodpecker,http://en.wikipedia.org/wiki/Great_spotted_woodpecker,True,True
Dryobates minor,LesserSpottedWoodpecker,Dendrocopos_minor,Lesser Spotted Woodpecker,http://en.wikipedia.org/wiki/Lesser_spotted_woodpecker,True,True
Dryocopus martius,BlackWoodpecker,Dryocopus_martius,Black Woodpecker,http://en.wikipedia.org/wiki/Black_woodpecker,True,True
Egretta garzetta,LittleEgret,Egretta_garzetta,Little Egret,http://en.wikipedia.org/wiki/Little_egret,True,True
Emberiza calandra,CornBunting,Emberiza_calandra,Corn Bunting,http://en.wikipedia.org/wiki/Corn_bunting,True,True
Emberiza citrinella,Yellowhammer,Emberiza_citrinella,Yellowhammer,http://en.wikipedia.org/wiki/Yellowhammer,True,True
Emberiza schoeniclus,CommonReedBunting,Emberiza_schoeniclus,Common Reed Bunting,http://en.wikipedia.org/wiki/Common_reed_bunting,True,True
Erithacus rubecula,EuropeanRobin,Erithacus_rubecula,European Robin,http://en.wikipedia.org/wiki/European_robin,True,True
Falco peregrinus,PeregrineFalcon,Falco_peregrinus,Peregrine Falcon,http://en.wikipedia.org/wiki/Peregrine_falcon,True,True
Falco subbuteo,EurasianHobby,Falco_subbuteo,Eurasian Hobby,http://en.wikipedia.org/wiki/Eurasian_hobby,True,True
Falco tinnunculus,CommonKestrel,Falco_tinnunculus,Common Kestrel,http://en.wikipedia.org/wiki/Common_kestrel,True,True
Ficedula hypoleuca,EuropeanPiedFlycatcher,Ficedula_hypoleuca,European Pied Flycatcher,http://en.wikipedia.org/wiki/European_pied_flycatcher,True,True
Fringilla coelebs,CommonChaffinch,Fringilla_coelebs,Common Chaffinch,http://en.wikipedia.org/wiki/Common_chaffinch,True,True
Fringilla montifringilla,Brambling,Fringilla_montifringilla,Brambling,http://en.wikipedia.org/wiki/Brambling,True,True
Fulica atra,EurasianCoot,Fulica_atra,Eurasian Coot,http://en.wikipedia.org/wiki/Eurasian_coot,True,True
Fulmarus glacialis,NorthernFulmar,Fulmarus_glacialis,Northern Fulmar,http://en.wikipedia.org/wiki/Northern_fulmar,True,True
Gallinago gallinago,CommonSnipe,Gallinago_gallinago,Common Snipe,http://en.wikipedia.org/wiki/Common_snipe,True,True
Gallinula chloropus,CommonMoorhen,Gallinula_chloropus,Common Moorhen,http://en.wikipedia.org/wiki/Common_moorhen,True,True
Garrulus glandarius,EurasianJay,Garrulus_glandarius,Eurasian Jay,http://en.wikipedia.org/wiki/Eurasian_jay,True,True
Gavia stellata,Red-throatedLoon,Gavia_stellata,Red-throated Loon,http://en.wikipedia.org/wiki/Red-throated_loon,True,True
Grus grus,CommonCrane,Grus_grus,Common Crane,http://en.wikipedia.org/wiki/Common_crane,True,True
Haematopus ostralegus,EurasianOystercatcher,Haematopus_ostralegus,Eurasian Oystercatcher,http://en.wikipedia.org/wiki/Eurasian_oystercatcher,True,True
Hirundo rustica,BarnSwallow,Hirundo_rustica,Barn Swallow,http://en.wikipedia.org/wiki/Barn_swallow,True,True
Hydrobates pelagicus,EuropeanStormPetrel,Hydrobates_pelagicus,European Storm Petrel,http://en.wikipedia.org/wiki/European_storm_petrel,True,True
Ichthyaetus melanocephalus,MediterraneanGull,Ichthyaetus_melanocephalus,Mediterranean Gull,http://en.wikipedia.org/wiki/Mediterranean_gull,True,True
Iduna pallida,EasternOlivaceousWarbler,Iduna_pallida,Eastern Olivaceous Warbler,http://en.wikipedia.org/wiki/Eastern_olivaceous_warbler,True,True
Jynx torquilla,EurasianWryneck,Jynx_torquilla,Eurasian Wryneck,http://en.wikipedia.org/wiki/Eurasian_wryneck,True,True
Lagopus lagopus,WillowPtarmigan,Lagopus_lagopus,Willow Ptarmigan,http://en.wikipedia.org/wiki/Willow_ptarmigan,True,True
Larus argentatus,EuropeanHerringGull,Larus_argentatus,European Herring Gull,http://en.wikipedia.org/wiki/European_herring_gull,True,True
Larus canus,CommonGull,Larus_canus,Mew Gull,http://en.wikipedia.org/wiki/Common_gull,True,True
Larus fuscus,LesserBlack-backedGull,Larus_fuscus,Lesser Black-backed Gull,http://en.wikipedia.org/wiki/Lesser_black-backed_gull,True,True
