ave585_species,ave585_english,w_classifier name,w_english,wikipedia link,has_ave585,has_w
Limosa limosa,Black-tailedGodwit,Limosa_limosa,Black-tailed Godwit,http://en.wikipedia.org/wiki/Black-tailed_godwit,True,True
Linaria cannabina,CommonLinnet,Linaria_cannabina,Common Linnet,http://en.wikipedia.org/wiki/Common_linnet,True,True
Locustella fluviatilis,RiverWarbler,Locustella_fluviatilis,River Warbler,http://en.wikipedia.org/wiki/River_warbler,True,True
Locustella luscinioides,SavisWarbler,Locustella_luscinioides,Savi's Warbler,http://en.wikipedia.org/wiki/Savi%27s_warbler,True,True
Locustella naevia,CommonGrasshopperWarbler,Locustella_naevia,Common Grasshopper Warbler,http://en.wikipedia.org/wiki/Common_grasshopper_warbler,True,True
Lophophanes cristatus,EuropeanCrestedTit,Lophophanes_cristatus,European Crested Tit,http://en.wikipedia.org/wiki/European_crested_tit,True,True
Loxia curvirostra,RedCrossbill,Loxia_curvirostra,Red Crossbill,http://en.wikipedia.org/wiki/Red_crossbill,True,True
Loxia leucoptera,Two-barredCrossbill,Loxia_leucoptera,Two-barred Crossbill,http://en.wikipedia.org/wiki/Two-barred_crossbill,True,True
Loxia pytyopsittacus,ParrotCrossbill,Loxia_pytyopsittacus,Parrot Crossbill,http://en.wikipedia.org/wiki/Parrot_crossbill,True,True
Lullula arborea,Woodlark,Lullula_arborea,Woodlark,http://en.wikipedia.org/wiki/Woodlark,True,True
Luscinia megarhynchos,CommonNightingale,Luscinia_megarhynchos,Common Nightingale,http://en.wikipedia.org/wiki/Common_nightingale,True,True
Luscinia svecica,Bluethroat,Luscinia_svecica,Bluethroat,http://en.wikipedia.org/wiki/Bluethroat,True,True
Lyrurus tetrix,BlackGrouse,Lyrurus_tetrix,Black Grouse,http://en.wikipedia.org/wiki/Black_grouse,True,True
Mareca penelope,EurasianWigeon,Anas_penelope,Eurasian Wigeon,http://en.wikipedia.org/wiki/Eurasian_wigeon,True,True
Mareca strepera,Gadwall,Anas_strepera,Gadwall,http://en.wikipedia.org/wiki/Gadwall,True,True
Mergellus albellus,Smew,Mergellus_albellus,Smew,http://en.wikipedia.org/wiki/Smew,True,True
Mergus serrator,Red-breastedMerganser,Mergus_serrator,Red-breasted Merganser,http://en.wikipedia.org/wiki/Red-breasted_merganser,True,True
Merops apiaster,EuropeanBee-eater,Merops_apiaster,European Bee-eater,http://en.wikipedia.org/wiki/European_bee-eater,True,True
Milvus milvus,RedKite,Milvus_milvus,Red Kite,http://en.wikipedia.org/wiki/Red_kite,True,True
Morus bassanus,NorthernGannet,Morus_bassanus,Northern Gannet,http://en.wikipedia.org/wiki/Northern_gannet,True,True
Motacilla alba,WhiteWagtail,Motacilla_alba,White Wagtail,http://en.wikipedia.org/wiki/White_wagtail,True,True
Motacilla cinerea,GreyWagtail,Motacilla_cinerea,Grey Wagtail,http://en.wikipedia.org/wiki/Grey_wagtail,True,True
Motacilla citreola,CitrineWagtail,Motacilla_citreola,Citrine Wagtail,http://en.wikipedia.org/wiki/Citrine_wagtail,True,True
Motacilla flava,WesternYellowWagtail,Motacilla_flava,Western Yellow Wagtail,http://en.wikipedia.org/wiki/Western_yellow_wagtail,True,True
Muscicapa striata,SpottedFlycatcher,Muscicapa_striata,Spotted Flycatcher,http://en.wikipedia.org/wiki/Spotted_flycatcher,True,True
Netta rufina,Red-crestedPochard,Netta_rufina,Red-crested Pochard,http://en.wikipedia.org/wiki/Red-crested_pochard,True,True
Numenius arquata,EurasianCurlew,Numenius_arquata,Eurasian Curlew,http://en.wikipedia.org/wiki/Eurasian_curlew,True,True
Numenius phaeopus,EurasianWhimbrel,Numenius_phaeopus,Whimbrel,http://en.wikipedia.org/wiki/Whimbrel,True,True
Oenanthe oenanthe,NorthernWheatear,Oenanthe_oenanthe,Northern Wheatear,http://en.wikipedia.org/wiki/Northern_wheatear,True,True
Oriolus oriolus,EurasianGoldenOriole,Oriolus_oriolus,Eurasian Golden Oriole,http://en.wikipedia.org/wiki/Eurasian_golden_oriole,True,True
Oxyura jamaicensis,RuddyDuck,Oxyura_jamaicensis,Ruddy Duck,http://en.wikipedia.org/wiki/Ruddy_duck,True,True
Panurus biarmicus,BeardedReedling,Panurus_biarmicus,Bearded Reedling,http://en.wikipedia.org/wiki/Bearded_reedling,True,True
Parus major,GreatTit,Parus_major,Great Tit,http://en.wikipedia.org/wiki/Great_tit,True,True
Passer domesticus,HouseSparrow,Passer_domesticus,House Sparrow,http://en.wikipedia.org/wiki/House_sparrow,True,True
Passer montanus,EurasianTreeSparrow,Passer_montanus,Eurasian Tree Sparrow,http://en.wikipedia.org/wiki/Eurasian_tree_sparrow,True,True
Perdix perdix,GreyPartridge,Perdix_perdix,Grey Partridge,http://en.wikipedia.org/wiki/Grey_partridge,True,True
Periparus ater,CoalTit,Periparus_ater,Coal Tit,http://en.wikipedia.org/wiki/Coal_tit,True,True
Pernis apivorus,EuropeanHoneyBuzzard,Pernis_apivorus,European Honey Buzzard,http://en.wikipedia.org/wiki/European_honey_buzzard,True,True
Phalaropus lobatus,Red-neckedPhalarope,Phalaropus_lobatus,Red-necked Phalarope,http://en.wikipedia.org/wiki/Red-necked_phalarope,True,True
Phasianus colchicus,CommonPheasant,Phasianus_colchicus,Common Pheasant,http://en.wikipedia.org/wiki/Common_pheasant,True,True
Phoenicurus phoenicurus,CommonRedstart,Phoenicurus_phoenicurus,Common Redstart,http://en.wikipedia.org/wiki/Common_redstart,True,True
Phylloscopus bonelli,WesternBonellisWarbler,Phylloscopus_bonelli,Western Bonelli's Warbler,http://en.wikipedia.org/wiki/Western_Bonelli%27s_warbler,True,True
Phylloscopus borealis,ArcticWarbler,Phylloscopus_borealis,Arctic Warbler,http://en.wikipedia.org/wiki/Arctic_warbler,True,True
Phylloscopus collybita,CommonChiffchaff,Phylloscopus_collybita,Common Chiffchaff,http://en.wikipedia.org/wiki/Common_chiffchaff,True,True
Phylloscopus fuscatus,DuskyWarbler,Phylloscopus_fuscatus,Dusky Warbler,http://en.wikipedia.org/wiki/Dusky_warbler,True,True
Phylloscopus inornatus,Yellow-browedWarbler,Phylloscopus_inornatus,Yellow-browed Warbler,http://en.wikipedia.org/wiki/Yellow-browed_warbler,True,True
Phylloscopus proregulus,PallassLeafWarbler,Phylloscopus_proregulus,Pallas's Leaf Warbler,http://en.wikipedia.org/wiki/Pallas%27s_leaf_warbler,True,True
Phylloscopus sibilatrix,WoodWarbler,Phylloscopus_sibilatrix,Wood Warbler,http://en.wikipedia.org/wiki/Wood_warbler,True,True
Phylloscopus trochilus,WillowWarbler,Phylloscopus_trochilus,Willow Warbler,http://en.wikipedia.org/wiki/Willow_warbler,True,True
Pica pica,EurasianMagpie,Pica_pica,Eurasian Magpie,http://en.wikipedia.org/wiki/Eurasian_magpie,True,True
Picus viridis,EuropeanGreenWoodpecker,Picus_viridis,European Green Woodpecker,http://en.wikipedia.org/wiki/European_green_woodpecker,True,True
Pluvialis apricaria,EuropeanGoldenPlover,Pluvialis_apricaria,European Golden Plover,http://en.wikipedia.org/wiki/European_golden_plover,True,True
Pluvialis squatarola,GreyPlover,Pluvialis_squatarola,Grey Plover,http://en.wikipedia.org/wiki/Grey_plover,True,True
Podiceps cristatus,GreatCrestedGrebe,Podiceps_cristatus,Great Crested Grebe,http://en.wikipedia.org/wiki/Great_crested_grebe,True,True
Poecile montanus,WillowTit,Poecile_montanus,Willow Tit,http://en.wikipedia.org/wiki/Willow_tit,True,True
Poecile palustris,MarshTit,Poecile_palustris,Marsh Tit,http://en.wikipedia.org/wiki/Marsh_Tit,True,True
Porzana porzana,SpottedCrake,Porzana_porzana,Spotted Crake,http://en.wikipedia.org/wiki/Spotted_crake,True,True
Prunella modularis,Dunnock,Prunella_modularis,Dunnock,http://en.wikipedia.org/wiki/Dunnock,True,True
Psittacula krameri,Rose-ringedParakeet,Psittacula_krameri,Rose-ringed Parakeet,http://en.wikipedia.org/wiki/Rose-ringed_parakeet,True,True
Puffinus puffinus,ManxShearwater,Puffinus_puffinus,Manx Shearwater,http://en.wikipedia.org/wiki/Manx_shearwater,True,True
Pyrrhula pyrrhula,EurasianBullfinch,Pyrrhula_pyrrhula,Eurasian Bullfinch,http://en.wikipedia.org/wiki/Eurasian_bullfinch,True,True
Rallus aquaticus,WaterRail,Rallus_aquaticus,Water Rail,http://en.wikipedia.org/wiki/Water_rail,True,True
Recurvirostra avosetta,PiedAvocet,Recurvirostra_avosetta,Pied Avocet,http://en.wikipedia.org/wiki/Pied_avocet,True,True
Regulus ignicapilla,CommonFirecrest,Regulus_ignicapilla,Common Firecrest,http://en.wikipedia.org/wiki/Common_firecrest,True,True
Regulus regulus,Goldcrest,Regulus_regulus,Goldcrest,http://en.wikipedia.org/wiki/Goldcrest,True,True
Riparia riparia,SandMartin,Riparia_riparia,Sand Martin,http://en.wikipedia.org/wiki/Sand_martin,True,True
Rissa tridactyla,Black-leggedKittiwake,Rissa_tridactyla,Black-legged Kittiwake,http://en.wikipedia.org/wiki/Black-legged_kittiwake,True,True
Saxicola rubetra,Whinchat,Saxicola_rubetra,Whinchat,http://en.wikipedia.org/wiki/Whinchat,True,True
Saxicola rubicola,EuropeanStonechat,Saxicola_rubicola,European Stonechat,http://en.wikipedia.org/wiki/European_stonechat,True,True
Scolopax rusticola,EurasianWoodcock,Scolopax_rusticola,Eurasian Woodcock,http://en.wikipedia.org/wiki/Eurasian_woodcock,True,True
Serinus serinus,EuropeanSerin,Serinus_serinus,European Serin,http://en.wikipedia.org/wiki/European_serin,True,True
Sitta europaea,EurasianNuthatch,Sitta_europaea,Eurasian Nuthatch,http://en.wikipedia.org/wiki/Eurasian_nuthatch,True,True
Somateria mollissima,CommonEider,Somateria_mollissima,Common Eider,http://en.wikipedia.org/wiki/Common_eider,True,True
Spatula clypeata,NorthernShoveler,Anas_clypeata,Northern Shoveler,http://en.wikipedia.org/wiki/Northern_shoveler,True,True
Spinus spinus,EurasianSiskin,Spinus_spinus,Eurasian Siskin,http://en.wikipedia.org/wiki/Eurasian_siskin,True,True
Stercorarius parasiticus,ParasiticJaeger,Stercorarius_parasiticus,Parasitic Jaeger,http://en.wikipedia.org/wiki/Parasitic_jaeger,True,True
Stercorarius skua,GreatSkua,Stercorarius_skua,Great Skua,http://en.wikipedia.org/wiki/Great_skua,True,True
Sterna dougallii,RoseateTern,Sterna_dougallii,Roseate Tern,http://en.wikipedia.org/wiki/Roseate_tern,True,True
Sterna hirundo,CommonTern,Sterna_hirundo,Common Tern,http://en.wikipedia.org/wiki/Common_tern,True,True
Sterna paradisaea,ArcticTern,Sterna_paradisaea,Arctic Tern,http://en.wikipedia.org/wiki/Arctic_tern,True,True
Sternula albifrons,LittleTern,Sternula_albifrons,Little Tern,http://en.wikipedia.org/wiki/Little_tern,True,True
Streptopelia decaocto,EurasianCollaredDove,Streptopelia_decaocto,Eurasian Collared Dove,http://en.wikipedia.org/wiki/Eurasian_collared_dove,True,True
Streptopelia turtur,EuropeanTurtleDove,Streptopelia_turtur,European Turtle Dove,http://en.wikipedia.org/wiki/European_turtle_dove,True,True
Strix aluco,TawnyOwl,Strix_aluco,Tawny Owl,http://en.wikipedia.org/wiki/Tawny_owl,True,True
Sturnus vulgaris,CommonStarling,Sturnus_vulgaris,Common Starling,http://en.wikipedia.org/wiki/Common_Starling,True,True
Sylvia atricapilla,EurasianBlackcap,Sylvia_atricapilla,Eurasian Blackcap,http://en.wikipedia.org/wiki/Eurasian_Blackcap,True,True
Sylvia borin,GardenWarbler,Sylvia_borin,Garden Warbler,http://en.wikipedia.org/wiki/Garden_warbler,True,True
Tachybaptus ruficollis,LittleGrebe,Tachybaptus_ruficollis,Little Grebe,http://en.wikipedia.org/wiki/Little_grebe,True,True
Tadorna tadorna,CommonShelduck,Tadorna_tadorna,Common Shelduck,http://en.wikipedia.org/wiki/Common_shelduck,True,True
Thalasseus sandvicensis,SandwichTern,Thalasseus_sandvicensis,Sandwich Tern,http://en.wikipedia.org/wiki/Sandwich_tern,True,True
Tringa glareola,WoodSandpiper,Tringa_glareola,Wood Sandpiper,http://en.wikipedia.org/wiki/Wood_sandpiper,True,True
Tringa nebularia,CommonGreenshank,Tringa_nebularia,Common Greenshank,http://en.wikipedia.org/wiki/Common_greenshank,True,True
Tringa ochropus,GreenSandpiper,Tringa_ochropus,Green Sandpiper,http://en.wikipedia.org/wiki/Green_sandpiper,True,True
Tringa totanus,CommonRedshank,Tringa_totanus,Common Redshank,http://en.wikipedia.org/wiki/Common_redshank,True,True
Troglodytes troglodytes,EurasianWren,Troglodytes_troglodytes,Eurasian Wren,http://en.wikipedia.org/wiki/Eurasian_wren,True,True
Turdus iliacus,Redwing,Turdus_iliacus,Redwing,http://en.wikipedia.org/wiki/Redwing,True,True
Turdus merula,CommonBlackbird,Turdus_merula,Common Blackbird,http://en.wikipedia.org/wiki/Common_blackbird,True,True
Turdus philomelos,SongThrush,Turdus_philomelos,Song Thrush,http://en.wikipedia.org/wiki/Song_thrush,True,True
Turdus pilaris,Fieldfare,Turdus_pilaris,Fieldfare,http://en.wikipedia.org/wiki/Fieldfare,True,True
Turdus torquatus,RingOuzel,Turdus_torquatus,Ring Ouzel,http://en.wikipedia.org/wiki/Ring_ouzel,True,True
Turdus viscivorus,MistleThrush,Turdus_viscivorus,Mistle Thrush,http://en.wikipedia.org/wiki/Mistle_thrush,True,True
Tyto alba,WesternBarnOwl,Tyto_alba,Western Barn Owl,http://en.wikipedia.org/wiki/Barn_owl,True,True
Uria aalge,CommonMurre,Uria_aalge,Common Murre,http://en.wikipedia.org/wiki/Common_murre,True,True
Vanellus vanellus,NorthernLapwing,Vanellus_vanellus,Northern Lapwing,http://en.wikipedia.org/wiki/Northern_lapwing,True,True
Xema sabini,SabinesGull,Xema_sabini,Sabine's Gull,http://en.wikipedia.org/wiki/Sabine%27s_gull,True,True
Zapornia pusilla,BaillonsCrake,Porzana_pusilla,Baillon's Crake,http://en.wikipedia.org/wiki/Baillon%27s_crake,True,True
Anthus campestris,Tawnypipit,Anthus_campestris,Tawny pipit,https://en.wikipedia.org/wiki/Tawny_pipit,True,False
Bubo bubo,EurasianEagle-owl,Bubo_bubo,Eurasian eagle-owl,https://en.wikipedia.org/wiki/Eurasian_eagle-owl,True,False
Alcedoatthis,CommonKingfisher,Alcedo_atthis,Common Kingfisher,https://en.wikipedia.org/wiki/Common_kingfisher,True,False
Falco columbarius,Merlin,Falco_columbarius,Merlin,https://en.wikipedia.org/wiki/Merlin_(bird),True,False
Charadrius alexandrinus,KentishPlover,Charadrius_alexandrinus,Kentish Plover,https://en.wikipedia.org/wiki/Kentish_plover,True,False
